マスター,地名,センター,もえるごみ,びん,カン,金属,埋立・乾電池,古紙,ペットボトル
3,新井全域,環境保全センター,月 水 金,20180320 20180403 20180501 20180522 20180619 20180703 20180724 20180807 20180904 20181002 20181106 20181127 20181225 20190122 20190219 20190305 20190326,20180327 20180424 20180515 20180529 20180626 20180717 20180731 20180828 20180911 20180925 20181009 20181030 20181120 20181204 20190108 20190129 20190226 20190319,20180313 20180410 20180508 20180612 20180710 20180814 20180918 20181016 20181113 20181211 20190115 20190212 20190312,20180417 20180605 20180821 20181023 20181218 20190205,20180315 20180405 20180419 20180503 20180517 20180607 20180621 20180705 20180719 20180802 20180816 20180906 20180920 20181004 20181018 20181101 20181115 20181206 20181220 20190110 20190124 20190207 20190221 20190307 20190321,20180322 20180412 20180426 20180510 20180524 20180614 20180628 20180712 20180726 20180809 20180823 20180913 20180927 20181011 20181025 20181108 20181122 20181213 20181227 20190117 20190131 20190214 20190228 20190314 20190328
4,川奈、吉田,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,荻、十足,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,富士見町、田代,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,長美代、城星,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,促進町,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,赤坂バス停から上,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,いずみ台,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
4,岡・鎌田の一部,環境保全センター,月 水 金,20180322 20180412 20180517 20180607 20180705 20180726 20180809 20180906 20180927 20181025 20181115 20181129 20181227 20190124 20190221 20190307,20180329 20180405 20180510 20180531 20180614 20180712 20180802 20180830 20180920 20181004 20181101 20181122 20181206 20190110 20190131 20190228 20190328,20180315 20180419 20180524 20180621 20180719 20180816 20180913 20181011 20181108 20181213 20190117 20190214 20190314,20180426 20180628 20180823 20181018 20181220 20190207,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326
5,富戸、八幡野,環境保全センター,月 水 金,20180329 20180405 20180510 20180524 20180614 20180712 20180802 20180830 20180913 20181004 20181101 20181122 20181206 20190110 20190207 20190314,20180315 20180412 20180517 20180607 20180705 20180719 20180809 20180906 20180927 20181025 20181108 20181129 20181227 20190117 20190131 20190221 20190307,20180322 20180426 20180531 20180628 20180726 20180823 20180920 20181018 20181115 20181220 20190124 20190228 20190328,20180419 20180621 20180816 20181011 20181213 20190214,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319
5,池、赤沢の全域,環境保全センター,月 水 金,20180329 20180405 20180510 20180524 20180614 20180712 20180802 20180830 20180913 20181004 20181101 20181122 20181206 20190110 20190207 20190314,20180315 20180412 20180517 20180607 20180705 20180719 20180809 20180906 20180927 20181025 20181108 20181129 20181227 20190117 20190131 20190221 20190307,20180322 20180426 20180531 20180628 20180726 20180823 20180920 20181018 20181115 20181220 20190124 20190228 20190328,20180419 20180621 20180816 20181011 20181213 20190214,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319
5,吉田の一部（地久保台、吉田みかん園バス停）,環境保全センター,月 水 金,20180329 20180405 20180510 20180524 20180614 20180712 20180802 20180830 20180913 20181004 20181101 20181122 20181206 20190110 20190207 20190314,20180315 20180412 20180517 20180607 20180705 20180719 20180809 20180906 20180927 20181025 20181108 20181129 20181227 20190117 20190131 20190221 20190307,20180322 20180426 20180531 20180628 20180726 20180823 20180920 20181018 20181115 20181220 20190124 20190228 20190328,20180419 20180621 20180816 20181011 20181213 20190214,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319
5,伊豆急、浮山,環境保全センター,月 水 金,20180329 20180405 20180510 20180524 20180614 20180712 20180802 20180830 20180913 20181004 20181101 20181122 20181206 20190110 20190207 20190314,20180315 20180412 20180517 20180607 20180705 20180719 20180809 20180906 20180927 20181025 20181108 20181129 20181227 20190117 20190131 20190221 20190307,20180322 20180426 20180531 20180628 20180726 20180823 20180920 20181018 20181115 20181220 20190124 20190228 20190328,20180419 20180621 20180816 20181011 20181213 20190214,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319
5,大室高原,環境保全センター,月 水 金,20180329 20180405 20180510 20180524 20180614 20180712 20180802 20180830 20180913 20181004 20181101 20181122 20181206 20190110 20190207 20190314,20180315 20180412 20180517 20180607 20180705 20180719 20180809 20180906 20180927 20181025 20181108 20181129 20181227 20190117 20190131 20190221 20190307,20180322 20180426 20180531 20180628 20180726 20180823 20180920 20181018 20181115 20181220 20190124 20190228 20190328,20180419 20180621 20180816 20181011 20181213 20190214,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319
5,十足の一部（さくらの里下）,環境保全センター,月 水 金,20180329 20180405 20180510 20180524 20180614 20180712 20180802 20180830 20180913 20181004 20181101 20181122 20181206 20190110 20190207 20190314,20180315 20180412 20180517 20180607 20180705 20180719 20180809 20180906 20180927 20181025 20181108 20181129 20181227 20190117 20190131 20190221 20190307,20180322 20180426 20180531 20180628 20180726 20180823 20180920 20181018 20181115 20181220 20190124 20190228 20190328,20180419 20180621 20180816 20181011 20181213 20190214,20180313 20180327 20180410 20180424 20180508 20180522 20180612 20180626 20180710 20180724 20180814 20180828 20180911 20180925 20181009 20181023 20181113 20181127 20181211 20181225 20190115 20190129 20190212 20190226 20190312 20190326,20180320 20180403 20180417 20180501 20180515 20180605 20180619 20180703 20180717 20180807 20180821 20180904 20180918 20181002 20181016 20181106 20181120 20181204 20181218 20190108 20190122 20190205 20190219 20190305 20190319
